what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1228713604575
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1228713604918
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1228713606200
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1228713608137
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228713611059
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228713619465
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228713620043
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228713649450
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228713657668
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228713687778
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228713755965
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228713863637
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineEnd,1228713875903
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228713877528
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228713878309
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228713885434
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1228713887997
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228713892590
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228713895293
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228713895293
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228713895387
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228714128200
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228714167637
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228714179934
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228714186325
