what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228719968059
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228719968809
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228719968809
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228719968856
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228719985059
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228719986356
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228719990512
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1228719990606
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228719993106
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineStart,1228720010278
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineEnd,1228720010903
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228720013090
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228720035622
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228720035622
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228720035715
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228720038340
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1228720039653
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1228720073075
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1228720075997
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228720078637
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228720083387
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1228720083465
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1228720086622
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228720101872
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228720103356
